week,region,mean_BT,min_BT,max_BT,week_start_date
37,North America,259.1079842703683,215.64630126953125,270.7718200683594,2025-09-10
37,South America,244.84162030901228,184.01898193359375,265.098388671875,2025-09-10
37,Tropics,247.8682904924665,184.01898193359375,269.332275390625,2025-09-10
37,Western Hemisphere,246.98570251464844,184.01898193359375,270.9835205078125,2025-09-10
38,North America,254.5239737374442,211.32769775390625,269.4169616699219,2025-09-17
38,South America,242.40735953194755,182.32540893554688,263.5318298339844,2025-09-17
38,Tropics,245.10709054129464,182.32540893554688,265.43707275390625,2025-09-17
38,Western Hemisphere,245.62744140625,182.32540893554688,271.1951904296875,2025-09-17
39,North America,256.0732421875,212.301513671875,268.4855041503906,2025-09-24
39,South America,244.74174281529017,182.32540893554688,266.9613037109375,2025-09-24
39,Tropics,246.02686854771204,180.5048370361328,265.1407165527344,2025-09-24
39,Western Hemisphere,246.2337886265346,182.32540893554688,268.99359130859375,2025-09-24
40,North America,254.90501403808594,211.83578491210938,269.6710205078125,2025-10-01
40,South America,244.60023716517858,184.01898193359375,266.1991882324219,2025-10-01
40,Tropics,244.41863577706474,183.21453857421875,267.6810607910156,2025-10-01
40,Western Hemisphere,246.2159423828125,184.01898193359375,272.21136474609375,2025-10-01
41,North America,257.8925258091518,221.2350616455078,272.846435546875,2025-10-08
41,South America,243.71421595982142,181.43629455566406,268.4855041503906,2025-10-08
41,Tropics,244.16920035226005,182.32540893554688,265.77581787109375,2025-10-08
41,Western Hemisphere,246.79867335728235,181.43629455566406,274.2012939453125,2025-10-08
42,North America,256.8471243722098,212.5555419921875,272.46539306640625,2025-10-15
42,South America,247.42852783203125,184.7810821533203,273.01580810546875,2025-10-15
42,Tropics,245.40836879185267,183.21453857421875,268.52783203125,2025-10-15
42,Western Hemisphere,247.87857055664062,184.7810821533203,273.01580810546875,2025-10-15
43,North America,255.2036634172712,211.5817413330078,269.6710205078125,2025-10-22
43,South America,248.9704328264509,183.21453857421875,266.8766174316406,2025-10-22
43,Tropics,246.49351283482142,183.21453857421875,269.6710205078125,2025-10-22
43,Western Hemisphere,247.4338858468192,183.21453857421875,269.6710205078125,2025-10-22
44,North America,256.23336138044084,217.29751586914062,268.18914794921875,2025-10-29
44,South America,249.25617327008928,184.7810821533203,269.332275390625,2025-10-29
44,Tropics,246.48421369280135,181.43629455566406,266.9613037109375,2025-10-29
44,Western Hemisphere,247.59774344308036,184.7810821533203,269.71331787109375,2025-10-29
45,North America,255.1123984200614,214.37612915039062,268.14678955078125,2025-11-05
45,South America,250.22677394321985,182.32540893554688,266.83428955078125,2025-11-05
45,Tropics,246.6480451311384,182.32540893554688,268.18914794921875,2025-11-05
45,Western Hemisphere,247.06778390066964,182.32540893554688,268.18914794921875,2025-11-05
46,North America,254.45394897460938,217.67857360839844,265.22540283203125,2025-11-12
46,South America,249.93389892578125,184.7810821533203,261.287841796875,2025-11-12
46,Tropics,247.73988342285156,183.21453857421875,261.8382568359375,2025-11-12
46,Western Hemisphere,246.0333251953125,184.7810821533203,265.22540283203125,2025-11-12
